City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
378,Lewistown,US,40.5992,-77.5714,67.8,100,75,0.0,mist
379,Tres Lagoas,BR,-20.7511,-51.6783,76.37,68,56,2.84,broken clouds
380,Muros,ES,42.7762,-9.0603,58.84,94,95,10.47,overcast clouds
381,Birganj,NP,27.0104,84.8774,84.11,73,5,1.83,clear sky
382,Storforshei,NO,66.4043,14.5233,60.58,67,75,16.11,broken clouds
383,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.08,93,99,11.97,light rain
384,Matagami,CA,49.7502,-77.6328,35.71,100,1,4.61,clear sky
385,Sorong,ID,-0.8833,131.25,86.95,60,85,13.76,overcast clouds
386,Ust-Kut,RU,56.7938,105.7672,41.5,74,99,2.64,overcast clouds
387,Sironj,IN,24.1,77.7,85.12,62,0,2.64,clear sky
388,Zhanaozen,KZ,43.3,52.8,53.71,39,96,24.65,overcast clouds
389,Paciran,ID,-6.8767,112.3761,85.24,63,100,11.41,overcast clouds
390,Pemba,MZ,-12.974,40.5178,74.1,88,20,4.61,few clouds
391,Zhoucheng,CN,35.9122,116.3117,73.8,87,100,9.84,overcast clouds
392,Caucaia,BR,-3.7361,-38.6531,83.07,72,40,25.32,scattered clouds
393,Thinadhoo,MV,0.5333,72.9333,83.86,74,34,15.21,scattered clouds
394,Kuito,AO,-12.3833,16.9333,57.99,47,37,5.35,scattered clouds
395,Okhotsk,RU,59.3833,143.3,44.17,55,90,22.21,overcast clouds
396,Tevriz,RU,57.509,72.4042,32.7,79,83,9.6,broken clouds
397,Evensk,RU,61.95,159.2333,42.49,53,100,17.6,overcast clouds
398,A Coruna,ES,43.3713,-8.396,58.78,85,20,6.91,few clouds
399,Kieta,PG,-6.2167,155.6333,83.05,82,95,4.99,moderate rain
400,Semirom,IR,31.4167,51.5667,64.4,26,0,2.28,clear sky
401,Husavik,IS,66.0449,-17.3389,39.11,93,100,21.05,overcast clouds
402,Seydisehir,TR,37.4193,31.8453,51.12,57,0,3.2,clear sky
