City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Luan,CH,2021-10-03 20:09:20,46.3592,6.9759,54.86,88,100,10.0
192,Uthal,PK,2021-10-03 20:09:21,25.8072,66.6219,81.9,81,17,7.18
193,Bergen,NO,2021-10-03 20:09:21,60.392,5.328,58.64,68,75,27.63
194,Portland,US,2021-10-03 20:05:14,45.5234,-122.6762,70.97,61,75,1.99
195,Karratha,AU,2021-10-03 20:09:21,-20.7377,116.8463,69.71,69,0,9.22
196,Eresos,GR,2021-10-03 20:09:22,39.1667,25.9333,63.91,67,0,17.52
197,Shenzhen,CN,2021-10-03 20:09:22,22.5455,114.0683,84.22,88,30,9.28
198,Tombouctou,ML,2021-10-03 20:09:23,20.0,-3.0,92.62,11,15,7.25
199,Balykshi,KZ,2021-10-03 20:09:23,47.0667,51.8667,41.0,60,0,6.71
200,Narrabri,AU,2021-10-03 20:09:23,-30.3167,149.7833,58.82,56,0,9.73
201,Bayir,TR,2021-10-03 20:09:24,37.2687,28.2167,63.12,38,0,4.25
202,Sao Filipe,CV,2021-10-03 20:09:24,14.8961,-24.4956,80.38,76,99,6.82
203,Talnakh,RU,2021-10-03 20:09:24,69.4865,88.3972,17.28,96,97,1.25
204,Neryungri,RU,2021-10-03 20:09:25,56.6709,124.6491,21.88,97,50,4.03
205,Wapi Pathum,TH,2021-10-03 20:09:25,15.8452,103.3768,79.32,87,78,3.04
206,Sal Rei,CV,2021-10-03 20:09:25,16.1833,-22.9167,81.16,80,13,8.1
207,Aklavik,CA,2021-10-03 20:09:26,68.2191,-135.0107,34.52,96,100,17.85
208,Lompoc,US,2021-10-03 20:09:26,34.6391,-120.4579,98.22,44,1,10.36
209,Weiser,US,2021-10-03 20:09:27,44.251,-116.9693,78.6,29,49,3.71
210,Vaini,TO,2021-10-03 20:09:27,-21.2,-175.2,75.36,88,75,10.36
211,Port-Cartier,CA,2021-10-03 20:07:44,50.0334,-66.8654,49.41,73,99,1.61
212,Ilulissat,GL,2021-10-03 20:09:27,69.2167,-51.1,28.42,64,20,2.3
213,Victoria,HK,2021-10-03 20:06:12,22.2855,114.1577,85.32,79,86,3.0
214,Ostrovnoy,RU,2021-10-03 20:09:28,68.0531,39.5131,44.33,87,15,21.45
215,Strezhevoy,RU,2021-10-03 20:08:26,60.7333,77.5889,31.98,91,16,6.15
216,Gamboma,CG,2021-10-03 20:09:29,-1.8764,15.8644,74.75,87,45,3.49
217,Dombarovskiy,RU,2021-10-03 20:09:29,50.7587,59.5386,43.23,61,100,11.72
218,Leningradskiy,RU,2021-10-03 20:09:29,69.3833,178.4167,17.67,84,94,4.34
219,Imbituba,BR,2021-10-03 20:09:30,-28.24,-48.6703,75.09,86,100,1.12
220,Nyurba,RU,2021-10-03 20:09:30,63.2842,118.3319,26.46,86,90,4.63
221,Kyaikto,MM,2021-10-03 20:09:30,17.3,97.0167,76.51,92,72,2.55
222,Nouakchott,MR,2021-10-03 20:06:51,18.0858,-15.9785,82.33,76,1,14.32
223,Kemijarvi,FI,2021-10-03 20:05:14,66.7131,27.4306,46.62,80,100,12.39
224,Grand Gaube,MU,2021-10-03 20:09:31,-20.0064,57.6608,73.38,73,23,5.99
225,Chupa,RU,2021-10-03 20:09:31,66.27,33.0549,45.25,86,52,8.63
226,Floro,NO,2021-10-03 20:04:47,61.5996,5.0328,57.9,51,75,31.07
227,Jibuti,DJ,2021-10-03 20:09:32,11.5,42.5,83.62,59,43,2.95
228,Fairbanks,US,2021-10-03 20:09:32,64.8378,-147.7164,35.6,95,90,5.75
229,Fergus Falls,US,2021-10-03 20:05:17,46.283,-96.0776,75.18,41,1,1.01
230,Tuatapere,NZ,2021-10-03 20:09:32,-46.1333,167.6833,45.82,93,100,3.33
